"","Row","Column","Block","Population","Family","Replicate","Date","Surveyor","Comment","Scar_length_mm"
"338",8,16,"1","14","3","2","7/1/2021","Sophie",NA,28.3
"339",8,17,"1","57","3","2","7/1/2021","Sophie",NA,0
"340",8,18,"1","62","1","2","7/1/2021","Sophie",NA,0
"341",8,19,"1","47","5","1","7/1/2021","Sophie",NA,9.3
"342",8,20,"1","15","5","1","7/1/2021","Sophie",NA,85.9
"343",8,21,"1","16","2","1","7/1/2021","Sophie",NA,6
"344",8,22,"1","29","4","3","7/1/2021","Sophie",NA,48.1
"345",8,23,"2","68","5","2","7/1/2021","Sophie",NA,42.8
"346",8,24,"2","4","2","2","7/1/2021","Sophie",NA,16.4
"347",8,25,"2","46","2","5","7/1/2021","Sophie",NA,0
"348",8,26,"2","68","4","1","7/1/2021","Sophie",NA,79.3
"349",8,27,"2","6","3","5","7/1/2021","Sophie",NA,114.9
"350",8,28,"2","7","1","2","7/1/2021","Sophie",NA,32.23
"351",8,29,"2","35","3","5","7/1/2021","Sophie",NA,34.2
"352",8,30,"2","39","3","3","7/1/2021","Sophie",NA,224.38
"353",8,31,"2","62","4","4","7/1/2021","Sophie",NA,106.05
"354",8,32,"2","4","3","3","7/1/2021","Sophie",NA,63.34
"355",8,33,"2","21","1","2","7/1/2021","Sophie",NA,192.35
"356",8,34,"2","77","4","3","7/1/2021","Sophie",NA,90.7
"357",8,35,"2","17","4","2","7/1/2021","Sophie",NA,195.2
"358",8,36,"2","27","5","2","7/1/2021","Sophie",NA,24.42
"359",8,37,"2","26","1","1","7/1/2021","Sophie",NA,188.09
"360",8,38,"2","17","3","1","7/1/2021","Sophie",NA,57.1
"361",8,39,"2","5","4","1","7/1/2021","Sophie",NA,13.82
"362",8,40,"2","39","3","5","7/1/2021","Sophie",NA,63
"363",8,41,"2","64","2","2","7/1/2021","Sophie",NA,0
"364",8,42,"2","64","3","3","7/1/2021","Sophie",NA,46.32
"365",8,43,"2","39","4","1","7/1/2021","Sophie",NA,105.5
"366",8,44,"2","62","1","3","7/1/2021","Sophie",NA,52.94
"367",8,45,"2","67","2","2","7/1/2021","Sophie",NA,14.97
"368",8,46,"2","67","5","3","7/1/2021","Sophie",NA,0
"369",9,1,"1","28","1","5","7/1/2021","Hayden",NA,342.61
"370",9,2,"1","4","3","1","7/1/2021","Hayden",NA,156.29
"371",9,3,"1","12","3","1","7/1/2021","Hayden",NA,0
"372",9,4,"1","27","4","1","7/1/2021","Hayden",NA,206.8
"373",9,5,"1","1","4","3","7/1/2021","Hayden",NA,154.35
"374",9,6,"1","49","5","5","7/1/2021","Hayden",NA,138.72
"375",9,7,"1","39","3","4","7/1/2021","Hayden",NA,58.26
"376",9,8,"1","77","3","1","7/1/2021","Hayden",NA,36.07
"377",9,9,"1","3","2","2","7/1/2021","Hayden",NA,39.96
"378",9,10,"1","69","2","4","7/1/2021","Hayden",NA,0
"379",9,11,"1","17","2","5","7/1/2021","Hayden",NA,4.76
"380",9,12,"1","51","4","2","7/1/2021","Hayden",NA,100.88
"381",9,13,"1","79","1","1","7/1/2021","Hayden",NA,54.37
"382",9,14,"1","5","5","5","7/1/2021","Hayden",NA,0
"383",9,15,"1","13","5","2","7/1/2021","Hayden",NA,18.78
"384",9,16,"1","30","5","3","7/1/2021","Hayden",NA,105.71
"385",9,17,"1","39","3","2","7/1/2021","Hayden",NA,68.81
"386",9,18,"1","20","1","2","7/1/2021","Hayden",NA,0
"387",9,19,"1","72","3","1","7/1/2021","Hayden",NA,155.09
"388",9,20,"1","7","3","3","7/1/2021","Hayden",NA,22.87
"389",9,21,"1","79","4","2","7/1/2021","Hayden",NA,213.75
"390",9,22,"1","15","3","5","7/1/2021","Hayden",NA,0
"391",9,23,"2","45","2","1","7/1/2021","Hayden",NA,19.1
"392",9,24,"2","27","4","5","7/1/2021","Hayden",NA,4.59
"393",9,25,"2","64","5","3","7/1/2021","Hayden",NA,11.05
"394",9,26,"2","77","1","2","7/1/2021","Hayden",NA,248.61
"395",9,27,"2","64","2","4","7/1/2021","Hayden",NA,0
"396",9,28,"2","7","3","5","7/1/2021","Hayden",NA,19.07
"397",9,29,"2","35","4","1","7/1/2021","Hayden",NA,214.69
"398",9,30,"2","36","4","1","7/1/2021","Hayden",NA,123.96
"399",9,31,"2","45","2","4","7/1/2021","Hayden",NA,278.37
"400",9,32,"2","15","3","1","7/1/2021","Hayden",NA,34.81
"401",9,33,"2","77","5","3","7/1/2021","Hayden",NA,119.79
"402",9,34,"2","36","3","1","7/1/2021","Hayden",NA,0
"403",9,35,"2","49","3","1","7/1/2021","Hayden",NA,205.97
"404",9,36,"2","39","5","2","7/1/2021","Hayden",NA,0
"405",9,37,"2","6","4","4","7/1/2021","Hayden",NA,28.66
"406",9,38,"2","57","5","4","7/1/2021","Hayden",NA,37.52
"407",9,39,"2","15","5","4","7/1/2021","Hayden",NA,20.04
"408",9,40,"2","62","5","5","7/1/2021","Hayden",NA,315.8
"409",9,41,"2","17","3","5","7/1/2021","Hayden",NA,140.05
"410",9,42,"2","47","5","4","7/1/2021","Hayden",NA,0
"411",9,43,"2","35","2","2","7/1/2021","Hayden",NA,18.48
