x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.24,2014-03-24 00:00:00,ON,2014,3,24,-5.7,,-9.5,,-1.9,,0,,,M,,M,4,,,M,,M,0,,23.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.25,2014-03-25 00:00:00,ON,2014,3,25,-3.7,,-8.4,,1.1,,0,,,M,,M,4,,,M,,M,0,,21.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.26,2014-03-26 00:00:00,ON,2014,3,26,-6.8,,-10.6,,-3,,0,,,M,,M,3,,,M,,M,0,,24.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.27,2014-03-27 00:00:00,ON,2014,3,27,-1.2,,-7.2,,4.8,,0.5,,,M,,M,3,,,M,,M,0,,19.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.28,2014-03-28 00:00:00,ON,2014,3,28,6.6,,3,,10.2,,2.5,,,M,,M,3,,,M,,M,0,,11.4,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.29,2014-03-29 00:00:00,ON,2014,3,29,2.5,,1.5,,3.5,,0,,,M,,M,2,,,M,,M,0,,15.5,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.30,2014-03-30 00:00:00,ON,2014,3,30,4.4,,-0.3,,9.1,,0,,,M,,M,2,,,M,,M,0,,13.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.31,2014-03-31 00:00:00,ON,2014,3,31,5.7,,1.4,,9.9,,0,,,M,,M,1,,,M,,M,0,,12.3,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.4.1,2014-04-01 00:00:00,ON,2014,4,1,,M,3.9,E,,M,,M,,M,,M,,,,M,,M,,M,,M,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.4.2,2014-04-02 00:00:00,ON,2014,4,2,4.9,,0.9,,8.8,,0,,,M,,M,,,,M,,M,0,,13.1,,,,,
