Row,Column,Block,Population,Family,Replicate,Date,Surveyor,Comment,Scar_length_mm,Height_cm_ram1,Height_cm_ram2,Height_cm_ram3,Height_cm_ram4,Height_cm_ram5,Height_cm_ram6,Height_cm_ram7,Height_cm_ram8,Height_cm_ram9,Height_cm_ram10,Height_cm_ram11,Height_cm_ram12,Height_cm_ram13,Height_cm_ram14,Height_cm_ram15,Height_cm_ram16
4,21,1,72,5,5,7/3/2021,Sophie,,14.1,26,,,,,,,,,,,,,,,
4,22,1,12,4,4,7/3/2021,Sophie,,0,0,,,,,,,,,,,,,,,
4,23,1,74,2,5,7/3/2021,Sophie,,24,6.2,10.8,6,8.2,4.3,3.8,2.6,,,,,,,,,
4,24,2,77,1,4,7/3/2021,Sophie,,40.4,9.6,7.6,34.4,12.8,,,,,,,,,,,,
4,25,2,15,2,5,7/3/2021,Sophie,,62.4,39.5,26.2,33,21.9,14.6,5.6,,,,,,,,,,
4,26,2,56,2,3,7/3/2021,Sophie,,59.1,32.1,29.8,,,,,,,,,,,,,,
4,27,2,32,1,2,7/3/2021,Sophie,,181.6,8.3,43.5,5,43.8,,,,,,,,,,,,
4,28,2,68,4,3,7/3/2021,Sophie,,80.5,39.4,17.8,36,26.3,7,16.4,20.2,4.9,4.1,17.9,,,,,,
4,29,2,23,1,2,7/3/2021,Sophie,,0,11.1,,,,,,,,,,,,,,,
4,30,2,4,1,4,7/3/2021,Sophie,,80.3,45.7,39.3,20.4,27.5,,,,,,,,,,,,
4,31,2,6,3,1,7/3/2021,Sophie,,10.9,30.5,,,,,,,,,,,,,,,
4,32,2,72,5,3,7/3/2021,Sophie,,145.5,10.1,2,35.1,28.3,38.5,,,,,,,,,,,
4,33,2,4,3,2,7/3/2021,Sophie,,88,6.5,4.6,5.5,33.5,25.2,6.6,,,,,,,,,,
4,34,2,51,4,3,7/3/2021,Sophie,,71.7,61.1,44,56.3,51.6,,,,,,,,,,,,
4,35,2,20,3,2,7/3/2021,Sophie,,0,0,,,,,,,,,,,,,,,
4,36,2,7,5,5,7/3/2021,Sophie,,206.8,21.7,24.6,52.9,10,49.8,17.2,,,,,,,,,,
4,37,2,36,5,3,7/3/2021,Sophie,,360.09,17.6,17.2,,,,,,,,,,,,,,
4,38,2,40,5,3,7/3/2021,Sophie,,177.22,10.6,41.3,49.6,43.7,11.3,49.2,49.3,52,49.6,,,,,,,
4,39,2,18,1,1,7/3/2021,Sophie,,59.2,25.6,7.3,4.2,41.6,,,,,,,,,,,,
4,40,2,36,1,4,7/3/2021,Sophie,,167.9,40.3,35.1,37,26.2,36,40.1,36.9,35,25.7,41,,,,,,
4,41,2,36,1,5,7/3/2021,Sophie,,190.2,3.8,40.6,29.8,44.1,34.2,50.6,46.6,,,,,,,,,
4,42,2,2,2,2,7/3/2021,Sophie,,66,42,4,4.7,24,37.6,,,,,,,,,,,
4,43,2,1,3,5,7/3/2021,Sophie,,49.2,8.2,32,,,,,,,,,,,,,,
4,44,2,61,4,4,7/3/2021,Sophie,,55.8,28,20.1,,,,,,,,,,,,,,
4,45,2,18,5,2,7/3/2021,Sophie,,0,28.4,29.6,,,,,,,,,,,,,,
4,46,2,46,4,1,7/3/2021,Sophie,,132,29.6,39.4,37.5,48.2,48.7,8.6,,,,,,,,,,
5,1,1,77,1,1,7/2/2021,Hayden,,170.49,28.6,11.5,24.6,,,,,,,,,,,,,
5,2,1,21,5,3,7/2/2021,Hayden,,74.21,28.6,8.2,12.1,3.4,12.5,4.3,9.6,8.5,,,,,,,,
5,3,1,19,3,5,7/2/2021,Hayden,,52.05,12.6,19.1,,,,,,,,,,,,,,
5,4,1,56,3,3,7/2/2021,Hayden,,0,0,,,,,,,,,,,,,,,
5,5,1,32,1,3,7/2/2021,Hayden,,32.51,24.9,,,,,,,,,,,,,,,
5,6,1,8,3,5,7/2/2021,Hayden,,688.03,60.3,56.2,32,54.1,56.5,62.6,11.9,,,,,,,,,
5,7,1,11,1,2,7/2/2021,Hayden,,78.17,27.6,17.4,21.4,,,,,,,,,,,,,
5,8,1,4,5,2,7/2/2021,Hayden,,80.04,30.1,13.1,,,,,,,,,,,,,,
5,9,1,28,1,3,7/2/2021,Hayden,,0,0,,,,,,,,,,,,,,,
5,10,1,29,1,3,7/2/2021,Hayden,,0,0,,,,,,,,,,,,,,,
5,11,1,3,2,4,7/2/2021,Hayden,,11.65,9.8,8.5,27.9,3.4,8.9,,,,,,,,,,,
5,12,1,23,1,5,7/2/2021,Hayden,,161.23,18.9,20.8,10,10.4,4.3,,,,,,,,,,,
5,13,1,21,3,1,7/2/2021,Hayden,,155.19,23.1,30.1,10.7,,,,,,,,,,,,,
5,14,1,49,2,3,7/2/2021,Hayden,,0,8.9,12.2,6.5,,,,,,,,,,,,,
5,15,1,72,3,5,7/2/2021,Hayden,,69.43,19.1,25.4,26.5,9.9,,,,,,,,,,,,
5,16,1,47,1,5,7/2/2021,Hayden,,76.35,32.1,52.7,11.7,,,,,,,,,,,,,
5,17,1,47,3,3,7/2/2021,Hayden,,31.57,17,20.1,13.1,10.8,,,,,,,,,,,,
5,18,1,46,5,3,7/2/2021,Hayden,,129.15,5.4,22.6,26.8,43.4,,,,,,,,,,,,
5,19,1,21,3,5,7/2/2021,Hayden,,0,12.5,14.1,1.9,,,,,,,,,,,,,
5,20,1,9,1,5,7/2/2021,Hayden,,65.14,24.7,24.2,7.9,,,,,,,,,,,,,
5,21,1,47,4,5,7/2/2021,Hayden,,60.92,15.5,16.6,21.1,28.1,,,,,,,,,,,,
5,22,1,13,1,4,7/2/2021,Hayden,,29.48,20.3,29.2,23,,,,,,,,,,,,,
